pruid,prname,date,numconf,numtotal,numtoday
47,Saskatchewan,4/12/2020,296,298,9
46,Manitoba,4/12/2020,226,242,0
35,Ontario,4/12/2020,7049,7049,401
24,Quebec,4/12/2020,12846,12846,554
10,Newfoundland and Labrador,4/12/2020,242,242,1
13,New Brunswick,4/12/2020,114,114,2
12,Nova Scotia,4/12/2020,445,445,17
11,Prince Edward Island,4/12/2020,25,25,0
60,Yukon,4/12/2020,8,8,0
61,Northwest Territories,4/12/2020,5,5,0
62,Nunavut,4/12/2020,0,0,0
99,Repatriated travellers,4/12/2020,13,13,0
1,Canada,4/12/2020,24365,24383,1066
59,British Columbia,4/13/2020,1490,1490,45
48,Alberta,4/13/2020,1732,1732,81
47,Saskatchewan,4/13/2020,300,300,2
46,Manitoba,4/13/2020,229,246,4
35,Ontario,4/13/2020,7470,7470,421
24,Quebec,4/13/2020,13557,13557,711
10,Newfoundland and Labrador,4/13/2020,244,244,2
13,New Brunswick,4/13/2020,116,116,2
12,Nova Scotia,4/13/2020,474,474,29
11,Prince Edward Island,4/13/2020,25,25,0
60,Yukon,4/13/2020,8,8,0
61,Northwest Territories,4/13/2020,5,5,0
62,Nunavut,4/13/2020,0,0,0
99,Repatriated travellers,4/13/2020,13,13,0
1,Canada,4/13/2020,25663,25680,1297
59,British Columbia,4/14/2020,1517,1517,27
48,Alberta,4/14/2020,1870,1870,138
47,Saskatchewan,4/14/2020,301,301,1
46,Manitoba,4/14/2020,229,246,0
35,Ontario,4/14/2020,7953,7953,483
24,Quebec,4/14/2020,14248,14248,691
10,Newfoundland and Labrador,4/14/2020,244,244,0
13,New Brunswick,4/14/2020,116,116,0
12,Nova Scotia,4/14/2020,517,517,43
11,Prince Edward Island,4/14/2020,25,25,0
60,Yukon,4/14/2020,8,8,0
61,Northwest Territories,4/14/2020,5,5,0
62,Nunavut,4/14/2020,0,0,0
99,Repatriated travellers,4/14/2020,13,13,0
1,Canada,4/14/2020,27046,27063,1383
59,British Columbia,4/15/2020,1561,1561,44
48,Alberta,4/15/2020,1996,1996,126
47,Saskatchewan,4/15/2020,304,304,3
46,Manitoba,4/15/2020,231,246,0
35,Ontario,4/15/2020,8447,8447,494
24,Quebec,4/15/2020,14860,14860,612
10,Newfoundland and Labrador,4/15/2020,247,247,3
13,New Brunswick,4/15/2020,117,117,1
12,Nova Scotia,4/15/2020,549,549,32
11,Prince Edward Island,4/15/2020,26,26,1
60,Yukon,4/15/2020,8,8,0
61,Northwest Territories,4/15/2020,5,5,0
62,Nunavut,4/15/2020,0,0,0
99,Repatriated travellers,4/15/2020,13,13,0
1,Canada,4/15/2020,28364,28381,1318
59,British Columbia,4/16/2020,1561,1561,0
48,Alberta,4/16/2020,2158,2158,162
47,Saskatchewan,4/16/2020,305,305,1
46,Manitoba,4/16/2020,239,250,4
35,Ontario,4/16/2020,8961,8961,514
24,Quebec,4/16/2020,15857,15857,997
10,Newfoundland and Labrador,4/16/2020,252,252,5
